,fighter_name,height,weight
301,Bevon Lewis,190.5,83.99000000000001
302,Bharat Kandare,170.18,61.29
303,Bibiano Fernandes,170.18,63.106
304,Bill Algeo,182.88,65.83
305,Bill Duvall,187.96,83.99000000000001
306,Bill Mahood,190.5,90.8
307,Billy Evangelista,172.72,70.37
308,Billy Giovanella,172.72,56.75
309,Billy Miles,177.8,77.18
310,Billy Quarantillo,177.8,70.37
311,Billy Vaughan,167.64000000000001,70.37
312,Blagoy Ivanov,180.34,113.5
313,Blair Tugman,182.88,61.29
314,Blake Bowman,187.96,77.18
315,Blas Avena,182.88,77.18
316,Bo Cantrell,187.96,106.69
317,Bob Cook,175.26,77.18
318,Bob Gilstrap,190.5,90.8
319,Bob Sapp,195.57999999999998,158.9
320,Bob Schrijber,182.88,108.96000000000001
321,Bobby Cooper,185.42,70.37
322,Bobby Green,177.8,70.37
323,Bobby Hoffman,187.96,111.23
324,Bobby Lashley,190.5,115.77000000000001
325,Bobby Moffett,177.8,65.83
326,Bobby Nash,182.88,77.18
327,Bobby Sanchez,170.18,70.37
328,Bobby Southworth,187.96,93.07000000000001
329,Bobby Stack,175.26,70.37
330,Bobby Voelker,182.88,77.18
331,Bojan Mihajlovic,180.34,93.07000000000001
332,Bojan Velickovic,182.88,77.18
333,Booker DeRousse,187.96,93.07000000000001
334,Boston Salmon,175.26,61.29
335,Brad Blackburn,177.8,77.18
336,Brad Gumm,180.34,77.18
337,Brad Imes,200.66,120.31
338,Brad Katona,167.64000000000001,61.29
339,Brad Kohler,175.26,99.88000000000001
340,Brad Mitchell,180.34,65.83
341,Brad Morris,187.96,93.07000000000001
342,Brad Pickett,167.64000000000001,61.29
343,Brad Tavares,185.42,83.99000000000001
344,Bradley Scott,185.42,77.18
345,Brady Fink,182.88,83.08200000000001
346,Branden Lee Hinkle,190.5,106.69
347,Brandon Cash,195.57999999999998,115.77000000000001
348,Brandon Davis,177.8,61.29
349,Brandon Foxworth,180.34,65.83
350,Brandon Gaines,190.5,83.99000000000001
351,Brandon Girtz,170.18,70.37
352,Brandon Halsey,182.88,83.99000000000001
353,Brandon Hester,185.42,93.07000000000001
354,Brandon Melendez,180.34,70.37
355,Brandon Michaels,175.26,83.99000000000001
356,Brandon Moreno,170.18,56.75
357,Brandon Saling,177.8,77.18
358,Brandon Sene,180.34,93.07000000000001
359,Brandon Shuey,170.18,70.37
360,Brandon Thatch,187.96,77.18
361,Brandon Vera,190.5,104.42
362,Brandon Visher,167.64000000000001,61.29
363,Brandon Wolff,175.26,77.18
364,Branko Cikatic,185.42,97.61
365,Brendan Allen,187.96,83.99000000000001
366,Brendan Loughnane,177.8,65.83
367,Brendan O'Reilly,170.18,77.18
368,Brendan Schaub,193.04,111.23
369,Brendan Seguin,182.88,83.99000000000001
370,Brennan Ward,177.8,77.18
371,Brent Primus,177.8,70.37
372,Bret Bergmark,175.26,77.18
373,Brett Cooper,182.88,77.18
374,Brett Johns,170.18,61.29
375,Brett Rogers,195.57999999999998,120.31
376,Brian Bowles,170.18,61.29
377,Brian Camozzi,187.96,77.18
378,Brian Cobb,180.34,70.37
379,Brian Davidson,167.64000000000001,65.83
380,Brian Ebersole,182.88,77.18
381,Brian Foster,175.26,77.18
382,Brian Gassaway,185.42,77.18
383,Brian Geraghty,170.18,70.37
384,Brian Houston,187.96,83.99000000000001
385,Brian Johnston,190.5,104.42
386,Brian Kelleher,167.64000000000001,61.29
387,Brian Lo-A-Njoe,170.18,70.37
388,Brian McLaughlin,175.26,70.37
389,Brian Melancon,172.72,77.18
390,Brian Ortega,172.72,65.83
391,Brian Rogers,180.34,83.99000000000001
392,Brian Schwartz,190.5,77.18
393,Brian Sleeman,172.72,83.99000000000001
394,Brian Stann,185.42,93.07000000000001
395,Brian Warren,182.88,83.99000000000001
396,Brianna Van Buren,149.86,52.21
397,Bristol Marunde,185.42,77.18
398,Brock Jardine,180.34,77.18
399,Brock Larson,180.34,77.18
400,Brock Lesnar,190.5,120.31
401,Brodie Farber,185.42,77.18
402,Brok Weaver,182.88,77.18
403,Brooke Mayo,170.18,56.75
404,Bruno Assis,187.96,83.99000000000001
405,Bruno Carvalho,172.72,69.916
406,Bruno Korea,167.64000000000001,61.29
407,Bruno Santos,175.26,83.99000000000001
408,Bruno Silva,182.88,83.99000000000001
409,Bryan Baker,190.5,83.99000000000001
410,Bryan Barberena,182.88,77.18
411,Bryan Caraway,172.72,61.29
412,Bryan Pardoe,185.42,93.07000000000001
413,Bryan Vetell,190.5,120.31
414,Bryanna Fissori,162.56,65.83
415,Bryce Mejia,185.42,77.18
416,Bryce Mitchell,177.8,65.83
417,Bryson Kamaka,180.34,77.18
418,Bu-Kyung Jung,170.18,69.916
